kernel line : count latency dram_traffic smem_bk_conflicts smem_warp gmem_access_generated gmem_warp exposed_latency warp_divergence
test.3.sm_86.ptx 78 : 8192 63232 0 0 0 0 0 0 0 
test.3.sm_86.ptx 246 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 79 : 8192 76032 0 0 0 0 0 0 0 
test.2.sm_86.ptx 79 : 65536 415904 0 0 0 0 0 0 0 
test.3.sm_86.ptx 247 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 80 : 8192 68864 0 0 0 0 0 0 0 
test.2.sm_86.ptx 80 : 65536 1876992 0 0 0 0 0 0 0 
test.3.sm_86.ptx 270 : 4096 28672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 103 : 8192 76032 0 0 0 0 0 0 0 
test.2.sm_86.ptx 103 : 262144 11369824 0 0 0 8192 8192 0 0 
test.3.sm_86.ptx 271 : 4096 36864 0 0 0 0 0 0 0 
test.3.sm_86.ptx 104 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 104 : 262144 2056672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 272 : 4096 28672 0 0 0 0 0 0 0 
test.3.sm_86.ptx 105 : 8192 73728 0 0 0 0 0 0 0 
test.2.sm_86.ptx 105 : 262144 2860032 0 0 0 0 0 0 0 
test.3.sm_86.ptx 273 : 4096 32768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 106 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 106 : 262144 2911008 0 0 0 0 0 0 0 
test.3.sm_86.ptx 274 : 4096 47136 0 0 0 0 0 0 0 
test.3.sm_86.ptx 107 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 107 : 262144 2155200 0 0 0 0 0 0 0 
test.3.sm_86.ptx 275 : 4096 33024 0 0 0 0 0 0 0 
test.3.sm_86.ptx 108 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 108 : 262144 2245376 0 0 0 0 0 0 0 
test.3.sm_86.ptx 276 : 4096 26880 0 0 0 0 0 0 0 
test.3.sm_86.ptx 109 : 8192 49984 0 0 0 0 0 0 0 
test.2.sm_86.ptx 109 : 262144 2331104 0 0 0 0 0 0 0 
test.3.sm_86.ptx 277 : 4096 24576 0 0 0 0 0 0 0 
test.3.sm_86.ptx 110 : 8192 0 0 0 0 0 0 0 0 
test.2.sm_86.ptx 110 : 262144 3075968 0 0 0 0 0 0 0 
test.3.sm_86.ptx 112 : 8192 78976 0 0 0 0 0 0 0 
test.2.sm_86.ptx 112 : 262144 3194656 0 0 0 0 0 0 0 
test.3.sm_86.ptx 113 : 8192 59008 0 0 0 0 0 0 0 
test.2.sm_86.ptx 113 : 262144 3127648 0 0 0 0 0 0 0 
test.3.sm_86.ptx 281 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 114 : 8192 110592 0 0 0 0 0 0 0 
test.2.sm_86.ptx 114 : 262144 3012992 0 0 0 0 0 0 0 
test.3.sm_86.ptx 282 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 115 : 8192 57344 0 0 0 0 0 0 0 
test.2.sm_86.ptx 115 : 262144 3030272 0 0 0 0 0 0 0 
test.3.sm_86.ptx 283 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 116 : 8192 60928 0 0 0 0 0 0 0 
test.2.sm_86.ptx 116 : 262144 2779424 0 0 0 0 0 0 0 
test.3.sm_86.ptx 284 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 117 : 8192 68864 0 0 0 0 0 0 0 
test.2.sm_86.ptx 117 : 262144 2208768 0 0 0 0 0 0 0 
test.3.sm_86.ptx 285 : 16384 5211584 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 118 : 8192 57856 0 0 0 0 0 0 0 
test.3.sm_86.ptx 119 : 8192 51456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 120 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 120 : 1048576 97092544 0 0 0 32768 32768 0 0 
test.3.sm_86.ptx 121 : 8192 49152 0 0 0 0 0 0 0 
test.2.sm_86.ptx 121 : 1048576 9771904 0 0 0 0 0 0 0 
test.3.sm_86.ptx 124 : 32768 196608 0 0 0 0 0 0 0 
test.2.sm_86.ptx 124 : 1048576 7918816 0 0 0 0 0 0 0 
test.3.sm_86.ptx 125 : 32768 299296 0 0 0 0 0 0 0 
test.2.sm_86.ptx 125 : 1048576 7819072 0 0 0 0 0 0 0 
test.3.sm_86.ptx 126 : 32768 196608 0 0 0 0 0 0 0 
test.2.sm_86.ptx 126 : 1048576 7950560 0 0 0 0 0 0 0 
test.3.sm_86.ptx 127 : 32768 294912 0 0 0 0 0 0 0 
test.2.sm_86.ptx 127 : 1048576 7907296 0 0 0 0 0 0 0 
test.3.sm_86.ptx 128 : 32768 18607168 0 0 0 16384 1024 0 0 
test.2.sm_86.ptx 128 : 1048576 7978272 0 0 0 0 0 0 0 
test.3.sm_86.ptx 129 : 32768 299232 0 0 0 0 0 0 0 
test.2.sm_86.ptx 129 : 1048576 7949216 0 0 0 0 0 0 0 
test.3.sm_86.ptx 130 : 32768 196608 0 0 0 0 0 0 0 
test.2.sm_86.ptx 130 : 1048576 7980800 0 0 0 0 0 0 0 
test.3.sm_86.ptx 131 : 32768 294912 0 0 0 0 0 0 0 
test.2.sm_86.ptx 131 : 1048576 7575616 0 0 0 0 0 0 0 
test.3.sm_86.ptx 132 : 32768 196608 0 0 0 0 0 0 0 
test.3.sm_86.ptx 133 : 32768 299232 0 0 0 0 0 0 0 
test.2.sm_86.ptx 133 : 22176 5028416 0 0 0 693 693 0 0 
test.3.sm_86.ptx 134 : 32768 21961792 0 0 0 16384 1024 0 0 
test.2.sm_86.ptx 134 : 22176 169696 0 0 0 0 0 0 0 
test.3.sm_86.ptx 135 : 32768 2492576 0 0 0 0 0 0 0 
test.2.sm_86.ptx 135 : 22176 167744 0 0 0 0 0 0 0 
test.3.sm_86.ptx 136 : 32768 493344 0 0 0 0 0 0 0 
test.2.sm_86.ptx 136 : 22176 165504 0 0 0 0 0 0 0 
test.3.sm_86.ptx 137 : 32768 197088 0 0 0 0 0 0 0 
test.2.sm_86.ptx 137 : 22176 165504 0 0 0 0 0 0 0 
test.3.sm_86.ptx 138 : 32768 300672 0 0 0 0 0 0 0 
test.2.sm_86.ptx 138 : 22176 235904 0 0 0 0 0 0 0 
test.3.sm_86.ptx 139 : 32768 197728 0 0 0 0 0 0 0 
test.2.sm_86.ptx 139 : 22176 238976 0 0 0 0 0 0 0 
test.3.sm_86.ptx 140 : 32768 295232 0 0 0 0 0 0 0 
test.2.sm_86.ptx 140 : 22176 254176 0 0 0 0 0 0 0 
test.3.sm_86.ptx 141 : 32768 19044864 0 0 0 16384 1024 0 0 
test.2.sm_86.ptx 141 : 22176 235360 0 0 0 0 0 0 0 
test.3.sm_86.ptx 142 : 32768 306272 0 0 0 0 0 0 0 
test.2.sm_86.ptx 142 : 22176 184256 0 0 0 0 0 0 0 
test.3.sm_86.ptx 143 : 32768 20905184 0 0 0 16384 1024 0 0 
test.2.sm_86.ptx 143 : 22176 169280 0 0 0 0 0 0 0 
test.3.sm_86.ptx 286 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 287 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 288 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 289 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 290 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 291 : 16384 6210624 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 292 : 16384 1212416 0 0 0 0 0 0 0 
test.3.sm_86.ptx 293 : 16384 229376 0 0 0 0 0 0 0 
test.3.sm_86.ptx 294 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 295 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 296 : 16384 98304 0 0 0 0 0 0 0 
test.3.sm_86.ptx 297 : 16384 147456 0 0 0 0 0 0 0 
test.3.sm_86.ptx 298 : 16384 5385760 0 0 0 8192 512 0 0 
test.3.sm_86.ptx 299 : 16384 147456 0 0 0 0 0 0 0 
